,a,,ə
,e,,ə
,í,,i:
e,í,ə,i:
,aí,,i:
úil,úla,u:l',u:lə
éir,éara,e:r',e:rə
lann,lainne,lən,lən'ə
óg,óige,o:g,o:g'ə
áil,ála,a:l',a:lə
óir,óra,o:r',o:rə
eoir,eora,o:r',o:rə
í,ithe,i:,ihə
,nna,,nə
,anna,,ənə
,eanna,,ənə
,cha,,xə
,acha,,əxə
,eacha,,əxə
,neacha,,n'əxə
,tha,,hə
éad,éid,e:d,e:d'
éal,éil,e:l,e:l'
éan,éin,e:n,e:n'
éar,éir,e:r,e:r'
éas,éis,e:s,e:s'
b,ib,b,b'
rc,irc,rk,r'k'
sc,isc,sk,s'k'
c,ic,k,k'
ach,aigh,əx,i:
each,igh,əx,i:
rd,ird,rd,r'd'
d,id,d,d'
g,ig,g,g'
ll,ill,l,l'
l,il,l,l'
# should slenderize preceding consonant too...
dh,idh,ə,i:
m,im,m,m'
mh,imh,v,v'
nn,inn,n,n'
n,in,n,n'
p,ip,p,p'
rr,irr,r,r'
r,ir,r,r'
s,is,s,s'
lt,ilt,lt,l't'
nt,int,nt,n't'
# rt' not r't'
rt,irt,rt,rt'
t,it,t,t'
,aim,,əm
,im,,əm'
,ann,,ən
,eann,,ən
,aimid,,əm'id'
,imid,,əm'id'
,tar,,tər
,tear,,t'ər
,amar,,əmər
,eamar,,əmər
,adar,,ədər
,eadar,,ədər
,adh,,ə
,eadh,,ə
,faidh,,hi:
,fidh,,hi:
,faimid,,həm'id'
,fimid,,həm'id'
,far,,fər
,fear,,f'ər
,ainn,,ən'
,inn,,in'
,tá,,ta:
,teá,,t'a:
,aimis,,əm'is'
,imis,,əm'is'
,aidís,,əd'i:s'
,idís,,əd'i:s'
,taí,,ti:
,tí,,t'i:
,fainn,,hin'
,finn,,hin'
,fá,,ha:
,feá,,ha:
,fadh,,həx
,feadh,,həx
,faimis,,həm'is'
,fimis,,həm'is'
,faidís,,həd'i:s'
,fidís,,həd'i:s'
,faí,,fi:
,fí,,f'i:
,aigí,,əg'i:
,igí,,əg'i:
,ta,,tə
,te,,t'ə
igh,ím,i:,i:m'
igh,íonn,i:,i:n
igh,ímid,i:,i:m'id'
igh,ítear,i:,i:t'ər
igh,íomar,i:,i:mər
igh,íodar,i:,i:dər
igh,íodh,i:,i:x
aigh,óidh,i:,o:i:
igh,eoidh,i:,o:i:
aigh,óimid,i:,o:m'id'
igh,eoimid,i:,o:m'id'
aigh,ófar,i:,o:fər
igh,eofar,i:,o:fər
igh,ínn,i:,i:n'
igh,íteá,i:,i:t'a:
igh,ímis,i:,i:m'is'
igh,ídís,i:,i:d'i:s'
igh,ítí,i:,i:t'i:
aigh,óinn,i:,o:n'
igh,eoinn,i:,o:n'
aigh,ófá,i:,o:ha:
igh,eofá,i:,o:ha:
aigh,ódh,i:,o:x
igh,eodh,i:,o:x
aigh,óimis,i:,o:m'is'
igh,eoimis,i:,o:m'is'
aigh,óidís,i:,o:d'i:s'
igh,eoidís,i:,o:d'i:s'
aigh,ófaí,i:,o:fi:
igh,eofaí,i:,o:fi:
aigh,ú,i:,u:
aigh,uithe,i:,ihə
igh,iú,i:,u:
igh,ithe,i:,ihə
