a,n-a,,n
á,n-á,,n
o,n-o,,n
ó,n-ó,,n
u,n-u,,n
ú,n-ú,,n
e,n-e,,n'
é,n-é,,n'
i,n-i,,n'
í,n-í,,n'
a,t-a,,t
á,t-á,,t
o,t-o,,t
ó,t-ó,,t
u,t-u,,t
ú,t-ú,,t
e,t-e,,t'
é,t-é,,t'
i,t-i,,t'
í,t-í,,t'
a,m'a,,m
á,m'á,,m
o,m'o,,m
ó,m'ó,,m
u,m'u,,m
ú,m'ú,,m
e,m'e,,m'
é,m'é,,m'
i,m'i,,m'
í,m'í,,m'
a,b'a,,b
á,b'á,,b
o,b'o,,b
ó,b'ó,,b
u,b'u,,b
ú,b'ú,,b
e,b'e,,b'
é,b'é,,b'
i,b'i,,b'
í,b'í,,b'
a,d'a,,d
á,d'á,,d
o,d'o,,d
ó,d'ó,,d
u,d'u,,d
ú,d'ú,,d
e,d'e,,d'
é,d'é,,d'
i,d'i,,d'
í,d'í,,d'
b,mb,b,m
c,gc,k,g
d,nd,d,n
f,bhf,f,v
g,ng,g,n
p,bp,p,b
t,dt,t,d
b,bh,b,v
c,ch,k,x
d,dh,d,ɣ
f,fh,f,0
g,gh,g,ɣ
m,mh,m,v
p,ph,p,f
s,sh,s,h
t,th,t,h
,h,,h
f,b'fh,f,b
f,mb'fh,f,b
s,b'sh,s,b
f,d'fh,f,d
,s',,s
s,ts,s,t
,an-,,an
b,an-bh,b,ˈanˈv
c,an-ch,c,ˈanˈx
f,an-fh,f,ˈanˈ
g,an-gh,g,ˈanˈɣ
m,an-mh,m,ˈanˈv
p,an-ph,p,ˈanˈf
